# Thermal sigma v for some different final states
# The final states are:
# Case 1: PDG = 12
# Case 2: PDG = 15
# Case 3: PDG =  6
# Case 4: PDG = 24
#  i     Mass [GeV]      sigvmid_1     sigvperr_1     sigvmerr_1      sigvmid_2     sigvperr_2     sigvmerr_2      sigvmid_3     sigvperr_3     sigvmerr_3      sigvmid_4     sigvperr_4     sigvmerr_4, sigv in units of cm^3/s^1
  90   0.193943E+03   0.183438E-24   0.529829E-26  -0.405315E-26   0.183441E-24   0.529118E-26  -0.406007E-26   0.183437E-24   0.529106E-26  -0.405998E-26   0.183433E-24   0.529095E-26  -0.405989E-26
  91   0.197822E+03   0.183740E-24   0.526694E-26  -0.409122E-26   0.183735E-24   0.529984E-26  -0.409012E-26   0.183735E-24   0.529967E-26  -0.406657E-26   0.183731E-24   0.529955E-26  -0.406649E-26
  92   0.201779E+03   0.184008E-24   0.531474E-26  -0.406573E-26   0.184011E-24   0.530760E-26  -0.407267E-26   0.184007E-24   0.530749E-26  -0.407258E-26   0.184002E-24   0.530737E-26  -0.407249E-26
  93   0.205814E+03   0.184279E-24   0.532258E-26  -0.407173E-26   0.184282E-24   0.531544E-26  -0.407868E-26   0.184278E-24   0.531533E-26  -0.407860E-26   0.184274E-24   0.531521E-26  -0.407851E-26
  94   0.209930E+03   0.184551E-24   0.533044E-26  -0.407774E-26   0.184554E-24   0.532329E-26  -0.408471E-26   0.184550E-24   0.532317E-26  -0.408462E-26   0.184546E-24   0.532306E-26  -0.408453E-26
  95   0.314896E+03   0.190062E-24   0.544818E-26  -0.423199E-26   0.190025E-24   0.548109E-26  -0.420579E-26   0.190053E-24   0.545624E-26  -0.419931E-26   0.190028E-24   0.548118E-26  -0.420585E-26
  96   0.472343E+03   0.194452E-24   0.558264E-26  -0.432869E-26   0.194456E-24   0.558263E-26  -0.429659E-26   0.194430E-24   0.560815E-26  -0.430328E-26   0.194426E-24   0.560802E-26  -0.430319E-26
  97   0.708515E+03   0.197174E-24   0.566068E-26  -0.435666E-26   0.197148E-24   0.568656E-26  -0.436344E-26   0.197144E-24   0.571326E-26  -0.433066E-26   0.197166E-24   0.568705E-26  -0.436383E-26
  98   0.106277E+04   0.198401E-24   0.569589E-26  -0.438376E-26   0.198408E-24   0.569611E-26  -0.438392E-26   0.198382E-24   0.572215E-26  -0.439075E-26   0.198378E-24   0.574902E-26  -0.435777E-26
  99   0.159416E+04   0.199478E-24   0.571899E-26  -0.441501E-26   0.199444E-24   0.574519E-26  -0.438118E-26   0.199470E-24   0.572659E-26  -0.440739E-26   0.199444E-24   0.574519E-26  -0.438118E-26
 100   0.239124E+04   0.201779E-24   0.575773E-26  -0.445841E-26   0.201785E-24   0.575677E-26  -0.445962E-26   0.201756E-24   0.578453E-26  -0.442450E-26   0.201789E-24   0.575687E-26  -0.445970E-26
 101   0.358686E+04   0.205622E-24   0.586738E-26  -0.454332E-26   0.205628E-24   0.586640E-26  -0.454455E-26   0.205633E-24   0.586655E-26  -0.454466E-26   0.205639E-24   0.586669E-26  -0.454477E-26
 102   0.538029E+04   0.210648E-24   0.600252E-26  -0.466222E-26   0.210646E-24   0.600955E-26  -0.465544E-26   0.210615E-24   0.603852E-26  -0.461878E-26   0.210614E-24   0.603848E-26  -0.461874E-26
 103   0.807043E+04   0.216323E-24   0.620215E-26  -0.474393E-26   0.216321E-24   0.620211E-26  -0.474390E-26   0.216320E-24   0.620207E-26  -0.474387E-26   0.216318E-24   0.620202E-26  -0.474383E-26
 104   0.121056E+05   0.222407E-24   0.637660E-26  -0.487737E-26   0.222406E-24   0.634063E-26  -0.484051E-26   0.222398E-24   0.637791E-26  -0.484151E-26   0.222437E-24   0.634593E-26  -0.491603E-26
 105   0.181585E+05   0.228744E-24   0.651846E-26  -0.501633E-26   0.228744E-24   0.651719E-26  -0.501754E-26   0.228743E-24   0.651715E-26  -0.501752E-26   0.228741E-24   0.651712E-26  -0.501749E-26
 106   0.272377E+05   0.235219E-24   0.670593E-26  -0.511938E-26   0.235210E-24   0.670439E-26  -0.512044E-26   0.235241E-24   0.670359E-26  -0.515881E-26   0.235241E-24   0.670228E-26  -0.516005E-26
 107   0.408566E+05   0.241861E-24   0.684880E-26  -0.530527E-26   0.241848E-24   0.689493E-26  -0.526367E-26   0.241839E-24   0.689334E-26  -0.526475E-26   0.241829E-24   0.689306E-26  -0.526453E-26
 108   0.612848E+05   0.248554E-24   0.708198E-26  -0.541354E-26   0.248541E-24   0.708436E-26  -0.541064E-26   0.248573E-24   0.704025E-26  -0.545118E-26   0.248561E-24   0.708631E-26  -0.540977E-26
 109   0.919272E+05   0.255387E-24   0.723504E-26  -0.555968E-26   0.255389E-24   0.723651E-26  -0.555838E-26   0.255349E-24   0.727842E-26  -0.555884E-26   0.255382E-24   0.723630E-26  -0.555822E-26
 110   0.137891E+06   0.262263E-24   0.746680E-26  -0.571762E-26   0.262288E-24   0.743198E-26  -0.570853E-26   0.262291E-24   0.743208E-26  -0.570859E-26   0.262294E-24   0.743217E-26  -0.570866E-26
 111   0.300000E+06   0.275774E-24   0.781412E-26  -0.600204E-26   0.275778E-24   0.781422E-26  -0.600212E-26   0.275781E-24   0.781431E-26  -0.600219E-26   0.275784E-24   0.781441E-26  -0.600226E-26
